plec;m.zamieszkania;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p23;p24;p25;p26;p27;p28;p29;p30;p31;p32;p33;p34;p35;p36;uwagi;kierunek;rok;miejsce;uwagi.x
Mężczyzna;Kościerzyna;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;;Dobrze;Dobrze;;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;POM;1;KOS;
Kobieta;Sierakowice;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;POM;1;KOS;
Kobieta;Sulęczyno ;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;;Dobrze;Dobrze;;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;POM;1;KOS;
Kobieta;Bytów;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Dobrze;;Dobrze;Dobrze;;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie;Nie;;POM;1;KOS;
Kobieta;Lipusz;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Źle;Źle;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Mogłyby być powiadomienia smsem  że są nowe wiadomości do odczytu.;Dobrze;Dobrze;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Nie;Tak;;POM;1;KOS;
Kobieta;LIPUSZ;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie;Nie;;POM;1;KOS;
Kobieta;Kościerzyna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Źle;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;;Bardzo Dobrze;Bardzo Dobrze;;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;Nie;Nie;;POM;1;KOS;
Kobieta;Chmielno;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Źle;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Źle;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Dobrze;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Tak;Tak;;POM;1;KOS;
Kobieta;Kartuzy;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Nie;Nie;;POM;1;KOS;
Kobieta;Bytów;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;.;Dobrze;Dobrze;.;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie;Nie;.;POM;1;KOS;
Kobieta;KOŚCIERZYNA;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Źle;Nie mam zdania/Nie wiem ;Bardzo Źle;Źle;Nie mam zdania/Nie wiem ;Dobrze;Źle;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;;Dobrze;Dobrze;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie;Nie;;POM;1;KOS;
Kobieta;Kartuzy;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie;Nie;;POM;1;KOS;
Kobieta;Bytòw;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Źle;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dziekanat pracuje bardzo dobrze  nie ma potrzeby zmian.;Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Nie;Nie;;POM;1;KOS;
Kobieta;bytów;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Źle;Nie mam zdania/Nie wiem ;Bardzo Źle;Bardzo Źle;Bardzo Źle;Dobrze;Źle;Nie mam zdania/Nie wiem ;Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Dobrze;Dobrze;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;POM;1;KOS;
Kobieta;Borzytuchom;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie;Nie;;POM;1;KOS;
Kobieta;Kościerzyna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie;Tak;;POM;1;KOS;
Kobieta;Kościerzyna ;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;POM;1;KOS;
Kobieta;Żukowo;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie;Nie;;POM;1;KOS;
Kobieta;Stara Kiszewa ;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Źle;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie;Nie;;POM;1;KOS;
Kobieta;Fdddd;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;POM;1;KOS;
Kobieta;Koscierzyna;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Źle;Źle;Źle;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;jest przejrzysta i czytelna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;brak;POM;1;KOS;
Kobieta;kościerzyna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;niczego;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie;Nie;;POM;1;KOS;
Kobieta;Kościerzyna;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Źle;Nie mam zdania/Nie wiem ;Źle;Nie mam zdania/Nie wiem ;Źle;Źle;Źle;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;;Dobrze;Dobrze;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;POM;1;KOS;
Kobieta;Kościerzyna ;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nic;Bardzo Dobrze;Bardzo Dobrze;Nic;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie;Tak;Fajna;POM;1;KOS;
Kobieta;Kościerzyna ;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Może być ;Dobrze;Dobrze;Nic;Dobrze;Dobrze;Dobrze;Źle;Dobrze;Źle;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Tak;Brak;POM;1;KOS;
Kobieta;Skarszewy;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;POM;1;KOS;
Mężczyzna;Kościerzyna;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;POM;1;KOS;
Kobieta;Stężyca;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Źle;Źle;Źle;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;nic;Dobrze;Dobrze;nic;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie;Nie;;POM;1;KOS;
Kobieta;Goręczyno;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania;Dobrze;Dobrze;nie mam zdania;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;nie mam;POM;1;KOS;
Kobieta;SOMONINO;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Źle;Dobrze;Nie mam zdania/Nie wiem ;Źle;Źle;Źle;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Dobrze;;Dobrze;Dobrze;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;POM;1;KOS;
Kobieta;Gmina Dziemiany;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;;Dobrze;Dobrze;;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie;Nie;;POM;1;KOS;
Kobieta;zblewo ;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie;Nie;;POM;1;KOS;
Kobieta;Kościerzyna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie;Nie;;POM;1;KOS;
Kobieta;Grabówko;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Niczego nie brakuje;Dobrze;Dobrze;wszystko jest ok;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie;Nie;jest za długa;POM;1;KOS;
Kobieta;SZCZODROWO GMINA SKARSZEWY;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Dobrze;Źle;Źle;Źle;Dobrze;Źle;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Dobrze;Dobrze;;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Nie;Nie;ZA DŁUGA;POM;1;KOS;
Kobieta;Bytów;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;;Dobrze;Dobrze;;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Nie;Nie;;POM;1;KOS;
Kobieta;Dziemiany  ;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Dobrze;;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Nie;Nie;;POM;1;KOS;
Kobieta;skorzewo gm Koscierzyna;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Nie;Tak;;POM;1;KOS;
