wykladowca;przedmiot;typ;tryb;płeć;o1;o2;o3;o4;o5;o6;o7;o8;o9;o10;Uwagi;kierunek;rok;miejsce;
Wykładowca-037;Podstawy pielęgniarstwa;Wykład;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-024;Organizacja pracy pielęgniarskiej;Wykład;Stacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;zgadzam się;zgadzam się;nie mam zdania;uważam za interesujący;;PO;1;KOS;
Wykładowca-124;Radiologia;Ćwiczenia;Stacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-095;Patologia;Wykład;Stacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-122;Dietetyka;Wykład;Stacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-053;Radiologia;Wykład;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-088;Fizjologia;Wykład;Stacjonarne;Kobieta;Dobrze;Dobrze;Źle;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;zgadzam się;zgadzam się;nie mam zdania;nie mam zdania;;PO;1;KOS;
Wykładowca-079;Fizjologia;Ćwiczenia;Stacjonarne;Kobieta;Dobrze;Dobrze;Nie mam zdania/Nie wiem;Dobrze;Dobrze;Nie mam zdania/Nie wiem;zgadzam się;zgadzam się;zgadzam się;nie mam zdania;;PO;1;KOS;
Wykładowca-030;Psychologia;Wykład;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;zdecydowanie się zgadzam;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-050;WDW Rola mediów we współczesnym świecie;Wykład;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-017;Podstawy pielęgniarstwa;Ćwiczenia;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-040;Farmakologia;Wykład;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zgadzam się;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-082;Język obcy - język angielski;Ćwiczenia;Stacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-052;Patologia;Ćwiczenia;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-117;Organizacja pracy pielęgniarskiej;Ćwiczenia;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-115;Współpraca w zespołach opieki zdrowotnej;Wykład;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-011;Farmakologia;Ćwiczenia;Stacjonarne;Kobieta;Dobrze;Dobrze;Nie mam zdania/Nie wiem;Dobrze;Dobrze;Nie mam zdania/Nie wiem;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-037;Podstawy pielęgniarstwa;Wykład;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-024;Organizacja pracy pielęgniarskiej;Wykład;Stacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-124;Radiologia;Ćwiczenia;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-095;Patologia;Wykład;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-122;Dietetyka;Wykład;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-053;Radiologia;Wykład;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-088;Fizjologia;Wykład;Stacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-079;Fizjologia;Ćwiczenia;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-030;Psychologia;Wykład;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-039;Podstawy pielęgniarstwa;Ćwiczenia;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-050;WDW Rola mediów we współczesnym świecie;Wykład;Stacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-040;Farmakologia;Wykład;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-082;Język obcy - język angielski;Ćwiczenia;Stacjonarne;Kobieta;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;nie mam zdania;nie mam zdania;nie mam zdania;nie mam zdania;;PO;1;KOS;
Wykładowca-052;Patologia;Ćwiczenia;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-117;Organizacja pracy pielęgniarskiej;Ćwiczenia;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-115;Współpraca w zespołach opieki zdrowotnej;Wykład;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-011;Farmakologia;Ćwiczenia;Stacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-037;Podstawy pielęgniarstwa;Wykład;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-024;Organizacja pracy pielęgniarskiej;Wykład;Stacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-124;Radiologia;Ćwiczenia;Stacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-095;Patologia;Wykład;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-122;Dietetyka;Wykład;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-053;Radiologia;Wykład;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-088;Fizjologia;Wykład;Stacjonarne;Kobieta;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Dobrze;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;nie mam zdania;nie mam zdania;nie mam zdania;nie mam zdania;Brak;PO;1;KOS;
Wykładowca-079;Fizjologia;Ćwiczenia;Stacjonarne;Kobieta;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;Brak;PO;1;KOS;
Wykładowca-030;Psychologia;Wykład;Stacjonarne;Kobieta;Dobrze;Dobrze;Nie mam zdania/Nie wiem;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-039;Podstawy pielęgniarstwa;Ćwiczenia;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-050;WDW Rola mediów we współczesnym świecie;Wykład;Stacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;nie mam zdania;nie mam zdania;nie mam zdania;nie mam zdania;;PO;1;KOS;
Wykładowca-040;Farmakologia;Wykład;Stacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;nie mam zdania;;PO;1;KOS;
Wykładowca-082;Język obcy - język angielski;Ćwiczenia;Stacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;nie mam zdania;;PO;1;KOS;
Wykładowca-052;Patologia;Ćwiczenia;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-117;Organizacja pracy pielęgniarskiej;Ćwiczenia;Stacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-115;Współpraca w zespołach opieki zdrowotnej;Wykład;Stacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-011;Farmakologia;Ćwiczenia;Stacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-037;Podstawy pielęgniarstwa;Wykład;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-024;Organizacja pracy pielęgniarskiej;Wykład;Stacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-124;Radiologia;Ćwiczenia;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zgadzam się;zgadzam się;zdecydowanie się zgadzam;uważam za interesujący;;PO;1;KOS;
Wykładowca-095;Patologia;Wykład;Stacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-122;Dietetyka;Wykład;Stacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-053;Radiologia;Wykład;Stacjonarne;Kobieta;Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-031;Podstawy pielęgniarstwa;Ćwiczenia;Stacjonarne;Mężczyzna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-088;Fizjologia;Wykład;Stacjonarne;Mężczyzna;Źle;Dobrze;Bardzo Źle;Bardzo Dobrze;Źle;Nie mam zdania/Nie wiem;zgadzam się;nie mam zdania;nie zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-079;Fizjologia;Ćwiczenia;Stacjonarne;Mężczyzna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-030;Psychologia;Wykład;Stacjonarne;Mężczyzna;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-050;WDW Rola mediów we współczesnym świecie;Wykład;Stacjonarne;Mężczyzna;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-046;Język obcy - język angielski;Ćwiczenia;Stacjonarne;Mężczyzna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-040;Farmakologia;Wykład;Stacjonarne;Mężczyzna;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-052;Patologia;Ćwiczenia;Stacjonarne;Mężczyzna;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-117;Organizacja pracy pielęgniarskiej;Ćwiczenia;Stacjonarne;Mężczyzna;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-115;Współpraca w zespołach opieki zdrowotnej;Wykład;Stacjonarne;Mężczyzna;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-011;Farmakologia;Ćwiczenia;Stacjonarne;Mężczyzna;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-037;Podstawy pielęgniarstwa;Wykład;Stacjonarne;Mężczyzna;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-024;Organizacja pracy pielęgniarskiej;Wykład;Stacjonarne;Mężczyzna;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Bardzo Źle;Dobrze;Źle;Źle;nie mam zdania;nie mam zdania;nie zgadzam się;uważam za mało interesujący ;;PO;1;KOS;
Wykładowca-124;Radiologia;Ćwiczenia;Stacjonarne;Mężczyzna;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-095;Patologia;Wykład;Stacjonarne;Mężczyzna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-122;Dietetyka;Wykład;Stacjonarne;Mężczyzna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-053;Radiologia;Wykład;Stacjonarne;Mężczyzna;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-088;Fizjologia;Wykład;Stacjonarne;Kobieta;Bardzo Źle;Bardzo Źle;Bardzo Źle;Bardzo Źle;Bardzo Źle;Bardzo Źle;zdecydowanie się nie zgadzam;zdecydowanie się nie zgadzam;zdecydowanie się nie zgadzam;uważam za bardzo mało interesujący;Wykładowca przez okres trwania nauki bardzo niemile i nieprofesjonalnie podchodził do pracy ze studentami. Zajęcia były niezrozumiałe  prezentacje w języku angielskim. Sama forma zaliczenia - bardzo zła. Test składający się z 30 pytań trwający 30 min - wynikiem zajęć jest zdawalność studentów ;PO;1;KOS;
Wykładowca-079;Fizjologia;Ćwiczenia;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;zgadzam się;zgadzam się;nie mam zdania;nie mam zdania;;PO;1;KOS;
Wykładowca-030;Psychologia;Wykład;Stacjonarne;Kobieta;Nie mam zdania/Nie wiem;Dobrze;Nie mam zdania/Nie wiem;Dobrze;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;nie mam zdania;nie mam zdania;nie mam zdania;nie mam zdania;;PO;1;KOS;
Wykładowca-039;Podstawy pielęgniarstwa;Ćwiczenia;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;Nauczycielka na medal - takich więcej ! Pomocna  cierpliwa. Przy p. Krystynie Szarmach zdobyłam bardzo dużą wiedzę na temat pracy z pacjentem  czynności przy nim wykonywanych. Bardzo chętnie uczestniczyłam na zajęciach. Przemiła osoba! ;PO;1;KOS;
Wykładowca-050;WDW Rola mediów we współczesnym świecie;Wykład;Stacjonarne;Kobieta;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;nie mam zdania;nie mam zdania;nie mam zdania;nie mam zdania;;PO;1;KOS;
Wykładowca-040;Farmakologia;Wykład;Stacjonarne;Kobieta;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-082;Język obcy - język angielski;Ćwiczenia;Stacjonarne;Kobieta;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;nie mam zdania;nie mam zdania;nie mam zdania;nie mam zdania;;PO;1;KOS;
Wykładowca-052;Patologia;Ćwiczenia;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-117;Organizacja pracy pielęgniarskiej;Ćwiczenia;Stacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-115;Współpraca w zespołach opieki zdrowotnej;Wykład;Stacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-011;Farmakologia;Ćwiczenia;Stacjonarne;Kobieta;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-037;Podstawy pielęgniarstwa;Wykład;Stacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-024;Organizacja pracy pielęgniarskiej;Wykład;Stacjonarne;Kobieta;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Dobrze;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;nie mam zdania;nie mam zdania;nie mam zdania;nie mam zdania;;PO;1;KOS;
Wykładowca-124;Radiologia;Ćwiczenia;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zgadzam się;zgadzam się;zgadzam się;nie mam zdania;;PO;1;KOS;
Wykładowca-095;Patologia;Wykład;Stacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;nie mam zdania;;PO;1;KOS;
Wykładowca-122;Dietetyka;Wykład;Stacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-053;Radiologia;Wykład;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;PO;1;KOS;
Wykładowca-031;Podstawy pielęgniarstwa;Ćwiczenia;Stacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;PO;1;KOS;
Wykładowca-088;Fizjologia;Wykład;Stacjonarne;Kobieta;Bardzo Źle;Bardzo Źle;Bardzo Źle;Bardzo Źle;Bardzo Źle;Bardzo Źle;zdecydowanie się nie zgadzam;zdecydowanie się nie zgadzam;zdecydowanie się nie zgadzam;uważam za bardzo mało interesujący;;PO;1;KOS;
Wykładowca-079;Fizjologia;Ćwiczenia;Stacjonarne;Kobieta;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;nie mam zdania;nie mam zdania;nie mam zdania;nie mam zdania;;PO;1;KOS;
